,Surname,Surname Number,Awards,DBLP,Education Text,Text Vector
484,Ping Fu,617,0,52,"Ping Fu was born in 1958 in      Nanjing,      China,                   where her father was a professor at the      Nanjing University of Aeronautics and Astronautics Nanjing University of Aeronautics and Astronautics (NUAA)Ping Fu was born in 1958 in      Nanjing,      China,                   where her father was a professor at the      Nanjing University of Aeronautics and Astronautics Nanjing University of Aeronautics and Astronautics (NUAA)In 1999, Fu relocated Geomagic from Illinois to the      Research Triangle Park Research Triangle Park,      North Carolina North Carolina","[-0.272984    0.24135225  0.32100633  0.7476277  -0.20229043  0.09115877
 -0.27576354  0.3814791   0.07840636 -0.13016248  0.46680236 -0.532982
 -0.09138537  0.57898676 -0.5072519  -0.00664936  0.01833276 -0.24076167
 -0.12249498  0.1689274   0.10179421  0.24247073 -0.05590991  0.33624494
  0.48174387  0.4105429   0.42850098 -0.12452095  0.33208942  0.0625068
 -0.02988531 -0.22964321  0.15094124  0.27920327 -0.3349566  -0.07705888
  0.22350538 -0.47169134  0.10954748  0.44064122  0.35085893 -0.46632874
 -0.33908993  0.39313486 -0.39709237 -0.2583265   0.19944863  0.07763954
 -0.28451782  0.5997085  -0.11240292 -0.11744936  0.01024588 -0.05931735
  0.37316927 -0.32293707  0.52517956 -0.19008276  1.097264   -0.26346192
 -0.57607067  0.19425754  0.05571554  0.03477755  0.14090255  0.5882631
  0.28385156  0.62430596 -0.2187656   0.5610014  -0.48531422  0.76699024
 -0.07514054 -0.6229815   0.12649995 -0.70872754  0.38724715  0.13601615
 -0.4397492   1.0492051  -0.6613893  -0.5779498   0.23279986  0.67078835
 -0.01164817  0.20992155  0.14445704 -0.33243978 -0.37318277 -0.17655256
  0.28616598  0.48727095 -0.4375987  -0.29667798  0.47167066  0.25520802
  0.12773234 -0.1420331   0.11691687  1.0143578 ]"
485,Ian Goodfellow,1354,0,57,"After graduation, Goodfellow joined      Google as part of the      Google Brain Google Brain research teamGoodfellow is best known for inventing      redirect    Generative adversarial networks generative adversarial networks (GAN), using deep learning to generate imagesAt Google, Goodfellow developed a system enabling      Google Maps Google Maps to automatically transcribe addresses from photos taken by      Google Street View Street View cars                   and demonstrated security vulnerabilities of machine learning systems","[-1.17188729e-01 -1.41989201e-01 -2.76782900e-01  3.10024917e-01
 -3.33520174e-01  1.08592607e-01 -7.51460716e-02 -8.27961326e-01
  2.04491541e-01  3.87313098e-01  1.75569043e-01 -3.59120041e-01
 -3.03855181e-01 -6.69252157e-01 -3.96178931e-01  3.25690538e-01
 -1.85778178e-02 -1.22908726e-01  3.75778705e-01  7.01000739e-04
 -3.32572728e-01 -7.22269341e-02 -1.14216916e-02 -2.30116069e-01
 -3.27050090e-01 -2.15299483e-02  4.32735085e-01 -1.26045212e-01
  4.93710563e-02 -1.82786435e-01  6.07617199e-01 -1.06904469e-01
  4.69886027e-02 -3.75029296e-01 -1.95949256e-01 -5.61112046e-01
  1.64144412e-01 -2.12425515e-01  3.38616282e-01 -5.53250574e-02
  2.53437221e-01 -1.31653655e+00  1.98621973e-01  1.14753932e-01
  3.88846725e-01  3.37184757e-01 -3.69387865e-01  6.97732270e-02
 -1.00482054e-01 -2.40468737e-02  8.24969262e-02 -9.08384621e-02
  3.17966998e-01  3.60204056e-02  2.35328719e-01  1.68197557e-01
  1.34141713e-01 -4.15804267e-01  4.56522137e-01  7.14950860e-02
  1.21615693e-01  1.41763866e-01 -3.26940238e-01  2.91028500e-01
  2.17778221e-01  7.90054739e-01  2.54506946e-01  3.16271544e-01
  5.84886260e-02  1.72262013e-01 -6.05933189e-01  3.52552235e-01
  3.24478865e-01 -1.84804335e-01  6.09022319e-01  1.09421059e-01
 -1.14649028e-01  7.16992378e-01 -6.37303114e-01 -3.61472249e-01
  5.40022612e-01 -2.49963298e-01 -1.48552448e-01  2.92542607e-01
  5.25288403e-01 -9.38044712e-02 -9.04287040e-01  1.33903533e-01
  2.40387544e-01 -1.45381466e-01 -4.15405899e-01  5.03071487e-01
 -4.49468344e-01  1.98214963e-01  2.88382560e-01  5.79173684e-01
  2.59658605e-01 -3.27524811e-01  2.58247733e-01  8.34483624e-01]"
486,George Sadowsky,1486,0,46,"The next three years Sadowsky spent at      The Urban Institute The Urban Institute as a senior research staff memberIn 1986 Sadowsky moved to      Northwestern University Northwestern University, where he was a director for academic computing and network services until 1990The next ten years, until 2000, Sadowsky was working at the      New York University New York University as a director of networking services and as director of Academic Computing Facility","[ 0.07171915 -0.02085773  0.42407987  1.1742419  -0.55614465 -0.28625527
 -0.11493234  0.02426803  0.21523714 -0.16038586  0.2386326  -0.69637
 -0.35485664 -0.23035146 -0.3831394   0.15419714 -0.27882844 -0.12163239
  0.27813008  0.45570135  0.15784793  0.473499   -0.3568419   0.37067527
  0.05429034  0.6269919   0.5791149   0.50591695  0.64831805 -0.13705778
  0.2614783  -0.32607502  0.08240905  0.23697443 -0.4386196  -0.52099454
  0.20808472 -0.9947904   0.3698686   0.79076517  0.36827698 -0.34738907
 -0.47173652  0.31327248 -0.459874   -0.17299423 -0.07580941  0.3648509
 -0.17882243  0.5366037  -0.314637    0.01581829  0.40143883  0.48472467
  0.20978813  0.49714804  0.17374006 -0.62150025  1.3724622  -0.769929
 -0.538943    0.26332977  0.26264003 -0.32386076  0.32767287  0.8499967
  0.41515824  0.6693811  -0.2768473   0.74779344 -0.60562456  1.0000311
  0.11526341 -0.78322196 -0.01459192 -0.44104922  0.3689786   0.5933102
 -0.89875823  0.54772264 -0.5025033  -0.25761208 -0.15112513  1.0005821
  0.6001045   0.08235428  0.00486564 -0.50638014 -0.4641201   0.5631241
 -0.32387227  0.5317851  -0.78457534 -0.01897138  0.17749366  1.0210372
 -0.21866465 -0.1284318  -0.09192917  1.0440024 ]"
487,Bruce Arden,1019,0,90,"He graduated from      Purdue University Purdue University with a BS(EE) in 1949 and started his computing career in 1950 with the wiring and programming of      IBM's      Hybrid computer hybrid (mechanical and electronic)      IBM CPC Card Programmed ComputerHe then became a research associate at the University of Michigan's Statistical Research Laboratory and later an associate director of the university's Computing Center after its establishment in 1959He then became a research associate at the University of Michigan's Statistical Research Laboratory and later an associate director of the university's Computing Center after its establishment in 1959M Vice President for Research Geoffrey Norman, writing in 1976, gave special credit to a triumvirate of Michigan computer specialists who contributed greatly to the future of computing at Michigan and in the nation as a wholeDuring his academic career, Arden wrote two books on numerical computation and edited another on computer science and engineering research","[-0.08250753 -0.05935295  0.12917623  0.6181504  -0.59527427 -0.35800532
 -0.02850633  0.00496435  0.444316    0.20786804  0.25609875 -0.59452224
 -0.36857143 -0.14702578 -0.53092265  0.2654759  -0.2974807   0.0268705
  0.06902978  0.39615974 -0.12471823  0.31971553 -0.11945     0.3170311
  0.1244275   0.32695755  0.7997186   0.12401054  0.4188983  -0.13926955
  0.337916   -0.02208151  0.29225078 -0.15355633 -0.42193663 -0.17706986
  0.17499073 -0.42271578  0.47488752  0.56110895  0.30063862 -0.7774849
 -0.3018787   0.31409186 -0.10100782 -0.06887924  0.24311104  0.44647452
 -0.4363614   0.20456535 -0.03339105 -0.09139861  0.1524847   0.43921083
  0.00709252  0.17266214  0.13015567 -0.3509733   1.0992341  -0.77474105
 -0.29449603  0.09893308  0.1916237  -0.02619536  0.4583149   0.8225202
  0.39255816  0.31057447 -0.08333211  0.8434104  -0.4978242   0.84261954
  0.31517553 -0.24541344  0.37409458 -0.744844    0.35828647  0.58134043
 -0.67242485  0.16810675 -0.1424365  -0.33554384 -0.05237282  0.73263955
  0.2436749  -0.05418859  0.05406788  0.04467112 -0.33029434  0.24281062
 -0.24352549  0.8057983  -0.48406994 -0.0730366   0.10024506  0.68538046
  0.02973736 -0.17793597  0.09806665  0.52590317]"
488,Joseph Carl Robnett Licklider,2748,0,32,"He studied at   He became interested in      Information technology information technology, and moved to      Massachusetts Institute of Technology MIT in 1950 as an associate professor, where he served on a committee that established      redirect    Lincoln Laboratory MIT Lincoln Laboratory and a psychology program for engineering studentsHe became interested in      Information technology information technology, and moved to      Massachusetts Institute of Technology MIT in 1950 as an associate professor, where he served on a committee that established      redirect    Lincoln Laboratory MIT Lincoln Laboratory and a psychology program for engineering studentsIn the      psychoacoustics field, Licklider is most remembered for his 1951  Duplex Theory of Pitch Perception , presented in a paper          which has been cited hundreds of times,          was reprinted in a 1979 book,          and formed the basis for modern models of   Licklider was instrumental in conceiving, funding and managing the research that led to modern personal computers and the InternetLicklider wrote numerous articles and lectures, and one book","[-0.16934851 -0.08420546  0.19032551  0.63171184 -0.44551545 -0.30082566
 -0.32047    -0.27814665  0.15867753  0.57597804  0.26700005 -0.29328972
 -0.24108702 -0.278612   -0.4168907   0.2639486  -0.29267243 -0.09272612
  0.31095934  0.45331112 -0.31965977  0.04107237 -0.3424301   0.60772353
  0.06189368  0.17359424  0.8269618  -0.02199935  0.2183701  -0.47488818
  0.447612    0.06372137  0.22898956 -0.10537791 -0.26863465 -0.34783182
  0.10415602 -0.36880437  0.24872361  0.5581774   0.00765789 -0.86768043
 -0.24358489  0.32965547 -0.26163355  0.0594445   0.13576649  0.493596
 -0.25556594  0.13448481 -0.11898392  0.01788706 -0.15967016  0.5967624
  0.05327313  0.20579563  0.1822039  -0.35798192  1.0572392  -0.41333613
 -0.05524007  0.19973938 -0.10347891 -0.27563903  0.68183     0.7278325
  0.61919     0.30280098 -0.13135865  0.75819397 -0.5034046   0.8209532
  0.1300181   0.04657594  0.286627   -0.37966195  0.25739473  0.64854234
 -0.6365774   0.10960936  0.22636575 -0.35364273 -0.04826883  0.6808349
  0.33797598  0.2891355  -0.20374596 -0.07474579 -0.16076894  0.24842276
 -0.38403744  0.6520789  -0.4695673   0.04429028  0.01364874  0.7522939
 -0.16668558 -0.38304442  0.1482203   0.8856675 ]"
489,Kevin Leyton-Brown,1741,0,29,"Kevin Brown (born May 12, 1975) is a Professor of      redirect    Computer Science Computer Science at the      University of British Columbia University of British ColumbiaKevin Brown (born May 12, 1975) is a Professor of      redirect    Computer Science Computer Science at the      University of British Columbia University of British ColumbiaBrown's research is at the intersection of      Computer science computer science and      microeconomics, addressing computational problems in economic contexts and incentive issues in      redirect    Multiagent systems multiagent systems","[-0.3780387   0.35263863  0.3632032   0.6531254  -0.3381867  -0.05420247
 -0.04603277 -0.11071168 -0.10822093 -0.25910568  0.96454436 -0.58341384
 -0.22370775 -0.2449787  -0.80951095  0.6206034  -0.5057321   0.07902778
 -0.3554398   0.83020484 -0.26191384  0.23979764 -0.3405931  -0.08023906
  0.22322732  0.17308807  1.2606347  -0.32319516  0.1041745  -0.04873483
  0.0818705  -0.20699762  0.35761687 -0.3385862   0.02527521 -0.26707527
  0.26236066 -0.3940841   0.16228929  0.24896742  0.22325444 -1.0183302
 -0.03213397  0.48220834 -0.2698399  -0.29764155  0.02163484  0.37632853
 -0.59571785  0.33601704  0.46676025 -0.5236402   0.3138103  -0.1130713
 -0.2920097  -0.36709684  0.27505815 -0.0517777   1.0009749  -0.73426133
 -0.55871755 -0.41558298  0.09322271 -0.3368065   0.26534685  1.3205149
  0.9667979   0.32605675 -0.59573734  0.6883795  -0.55537236  0.4163957
  0.3066982  -0.31876564  0.11562415 -0.8316915   0.3746683   0.78450036
 -0.82265556  0.00269461 -0.2452792  -0.08703551 -0.01522049  1.1425208
  0.10275985  0.0827699  -0.37684965  0.01117117 -0.49576268  0.15767322
 -0.34636918  0.6779871  -0.6046324   0.2798649   0.04029559  1.3423296
  0.20589201 -0.5027072   0.50105053  0.7443558 ]"
490,Paul Compton,1170,0,38,Paul Compton (born 1944) is an Emeritus Professor at the      University of New South Wales University of New South Wales (UNSW)Paul Compton (born 1944) is an Emeritus Professor at the      University of New South Wales University of New South Wales (UNSW)Paul Compton worked at the      Garvan Institute of Medical Research Garvan Institute before his appointment at UNSW,"[-0.767973    0.37149307  0.46111566  1.0907092  -0.44414043 -0.42484844
  0.08817787  0.7144722   0.31269094  0.1627968   0.8657302  -0.85368824
 -0.27264374  0.30784222 -0.26269472  0.45324504 -0.04355725 -0.5158607
 -0.31856152  0.70180947  0.5420593  -0.30658823 -0.04995885  0.4634642
  0.6149073   0.85568875  0.8122308  -0.2588065   0.39890882 -0.23810098
 -0.0866688  -0.59152657  0.30751073  0.26359344 -0.10554128 -0.24098484
  0.30189735 -0.43003052 -0.14575252  1.174089    0.27014318 -0.26934856
  0.11071125  0.4763797  -0.40118903 -0.6534004   0.2670092   0.31127742
 -0.17737381  0.5653515  -0.16397817 -0.563013   -0.0548649   0.56439173
  0.02689512  0.07428555  0.25597176 -0.28167135  1.0056033  -0.56867284
 -1.2442024   0.27307013  0.3353413  -0.2997622   0.10983612  1.0773716
  0.3155268   0.74943095 -0.5738536   0.5034657  -0.6255276   1.1320823
  0.36427525 -1.1290079  -0.01900537 -1.075348    0.5057345  -0.29777217
 -0.9478859   1.0538037  -0.89129543 -0.31570804  0.06096457  0.995192
  0.07224748  0.36413324 -0.34220016 -0.6516276  -0.12580356  0.5580432
  0.10151907  0.7146931  -0.3681826  -0.26140657  0.4316356   0.6727706
  0.35750797  0.19995917  0.09573616  1.2565376 ]"
491,Sue Black,810,0,6,"Black was previously Head of the Department of Information and Software Systems at the      University of Westminster University of Westminster, and senior research associate at      University College London University College London (UCL)Black was previously Head of the Department of Information and Software Systems at the      University of Westminster University of Westminster, and senior research associate at      University College London University College London (UCL)At the end of 2015, Black published a book about the process, Saving Bletchley Park,          initially funded via   Black was also one of the 30 women identified in the British Computer Society's Women in IT Campaign in 2014, who were then featured in the book  Women in IT","[-2.97867060e-01  1.77211985e-01  9.62772407e-03  9.09272075e-01
 -6.24144673e-01 -3.62605542e-01 -3.62317115e-01  1.76822647e-01
  3.21705401e-01 -1.00898467e-01  4.06623155e-01 -6.42809272e-01
 -2.93261647e-01  3.18521380e-01 -8.29760373e-01  5.20153701e-01
  4.27842559e-03  4.69902828e-02  4.87744771e-02  7.05303907e-01
 -3.57167870e-02  3.22615415e-01 -3.44603330e-01  1.07414246e-01
 -7.40103715e-04  4.98351157e-01  8.41494620e-01  2.52733201e-01
  3.33333224e-01 -5.46975672e-01  1.42338499e-01 -3.46371621e-01
  3.67523059e-02  1.90555602e-01 -3.65751505e-01 -5.13704121e-01
  1.92724839e-01 -5.59435189e-01  1.28583640e-01  7.22773075e-01
  6.89395964e-02 -6.15907431e-01 -2.89032280e-01  2.00718790e-01
 -5.02823293e-01 -1.56367600e-01 -1.85203373e-01  3.16655427e-01
 -2.17063770e-01  5.21379530e-01  1.01042598e-01 -7.43830651e-02
 -4.09858637e-02  3.63949925e-01  3.54826212e-01 -2.53503740e-01
  2.60595024e-01 -4.96445715e-01  1.09779632e+00 -7.19603240e-01
 -5.57554483e-01 -1.02672227e-01  2.23086670e-01 -9.53427702e-02
  3.85777444e-01  1.13994634e+00  2.40077212e-01  3.60862106e-01
 -4.06324953e-01  8.47052097e-01 -6.18445575e-01  7.34092772e-01
  1.38561249e-01 -6.77023709e-01  9.26840231e-02 -6.12340808e-01
  2.47363508e-01  5.56798756e-01 -7.30347455e-01  7.85060942e-01
 -3.40636283e-01 -3.23726147e-01  2.10243538e-01  5.87311268e-01
  4.55512375e-01  4.43436444e-01 -6.68005422e-02  1.19970940e-01
 -4.59646255e-01  1.23209231e-01 -5.06485999e-01  7.74107337e-01
 -5.15137613e-01 -4.09243077e-01  9.78578404e-02  6.86310053e-01
  1.00337543e-01 -3.73202145e-01  4.69862223e-02  1.10950243e+00]"
492,Jonathan Schaeffer,1754,2,36,"Born in      Toronto,      Ontario, he received a Bachelor of Science degree in 1979 from the      University of Toronto University of TorontoSchaeffer is a member and, until 2004, leader of the computer poker research group at the      University of Alberta University of Alberta, which has developed several strong computer programs for playing   Schaeffer is a member and, until 2004, leader of the computer poker research group at the      University of Alberta University of Alberta, which has developed several strong computer programs for playing   Schaeffer was previously the provost for      Information technology information technology at the      University of Alberta University of Alberta","[-0.44502598  0.15673807  0.18808235  0.75015783 -0.680265   -0.4511421
 -0.41250852  0.04214453  0.40098912  0.1755841   0.09827729 -0.499698
 -0.60117555 -0.0590267  -0.85264677  0.5851565  -0.16075493 -0.09218191
 -0.01634122  0.36943814  0.037712    0.33039743 -0.08270994  0.21594451
  0.01820951  0.36081067  0.9901734   0.3400791   0.1473813  -0.36896905
  0.4090686  -0.3292709   0.20813733  0.2034424  -0.19718046 -0.31948993
  0.02865054 -0.35160193  0.19219583  0.4854355   0.28727862 -0.6092151
 -0.31819028  0.4580656  -0.19888061 -0.09717138  0.01440494  0.6352073
 -0.36703652  0.52119756 -0.31896678 -0.1444943   0.4505009   0.23211358
  0.03163554 -0.2442562   0.19242412 -0.1873541   1.1255893  -0.57294905
 -0.7579718  -0.19773673 -0.1811548  -0.1752279   0.41583928  1.0912184
  0.51234096  0.4068261  -0.25261492  0.62480754 -0.6363502   0.5892787
  0.08981424 -0.5624604   0.4459594  -0.92799556  0.11662777  0.8260658
 -0.85100555  0.51368445 -0.29945976 -0.17340904  0.21692689  0.76545537
  0.31170118  0.10938412 -0.13906129 -0.14862756 -0.36104816 -0.25840682
 -0.5075303   0.81800956 -0.763186    0.02767303  0.05865615  0.98614526
 -0.01000054 -0.16384442 -0.01827731  0.8182053 ]"
493,Bernard Vauquois,1595,0,45,"He was a professor at what would become the      Grenoble Alpes University Grenoble Alpes UniversityHe was a professor at what would become the      Grenoble Alpes University Grenoble Alpes UniversityBernard Vauquois was initially a researcher at      French National Centre for Scientific Research French National Centre for Scientific Research (CNRS) from 1952 to 1958 at the Astrophysics Institute of the      redirect    Meudon Observatory Meudon Observatory, after completing studies in mathematics, physics, and astronomyBernard Vauquois was initially a researcher at      French National Centre for Scientific Research French National Centre for Scientific Research (CNRS) from 1952 to 1958 at the Astrophysics Institute of the      redirect    Meudon Observatory Meudon Observatory, after completing studies in mathematics, physics, and astronomyIn 1960, at 31 years old, he was appointed professor of computer science at the      redirect    Grenoble University Grenoble University where, with professors      Jean Kuntzmann Jean Kuntzmann and   In 1960, at 31 years old, he was appointed professor of computer science at the      redirect    Grenoble University Grenoble University where, with professors      Jean Kuntzmann Jean Kuntzmann and   After visiting a number of centers, mainly in the United States, where machine translation research was conducted, he analyzed the shortcomings of the  generation  approach and evaluated the potential of a new generation based on grammar and formal language theory, and proposed a new approach based on a representational   and the use of (declarative) rule systems that transform a sequential sentence from one level of representation to anotherThe Center for Studies on Automatic Translation, which Vauquois founded in 1960, later became the Group for the Study of Machine Translation and Automated Processing of Languages and Speech (GETALP)Vauquois was a prolific writer and speaker, and he contributed significantly to the dissemination of knowledge about machine translation and related topics","[-1.17771305e-01 -2.62128040e-02  1.63124025e-01  5.36980808e-01
 -4.57482636e-01 -2.37964734e-01 -2.56417334e-01  6.89269090e-03
  1.15796752e-01  3.36703509e-01  2.24419713e-01 -3.74832273e-01
 -4.63737160e-01  3.72213237e-02 -3.37771297e-01  6.37697756e-01
 -1.27324939e-01 -1.51936948e-01  3.09771150e-01  5.74939013e-01
 -5.59695289e-02  8.13681483e-02 -1.99060053e-01  4.72193807e-01
  1.90220535e-01  3.44291061e-01  8.10898423e-01 -7.68633708e-02
  3.39302987e-01 -3.40061635e-01  2.15254530e-01 -1.25130787e-01
  1.46893024e-01 -6.87542662e-04 -3.88548553e-01 -1.04014628e-01
  1.09694287e-01 -6.16762877e-01  3.93322587e-01  5.17282903e-01
  2.10321769e-01 -6.72435999e-01 -2.04489574e-01  7.69084543e-02
 -1.47448972e-01  1.94888383e-01  1.80447891e-01  7.84500092e-02
 -3.55194241e-01  2.85694778e-01  1.04767224e-02  1.02290407e-01
 -9.07332897e-02  5.20179987e-01  1.39239505e-01  7.60958195e-02
  2.76891410e-01 -7.93185458e-02  9.47444558e-01 -4.73807842e-01
 -1.72803685e-01 -1.26725817e-02  1.90641180e-01 -2.53998876e-01
  3.40090305e-01  6.41265750e-01  6.58710539e-01  5.40697217e-01
 -1.18447468e-01  6.96962297e-01 -4.05216247e-01  5.01356542e-01
  1.28174439e-01 -3.07175428e-01  4.57276821e-01 -3.79425198e-01
  5.92828244e-02  6.58542931e-01 -5.46978712e-01  4.42487657e-01
  2.11735517e-01 -1.60941914e-01 -2.24086773e-02  7.39815652e-01
  2.71422118e-01  3.28184873e-01 -6.98451558e-03 -1.74152955e-01
 -2.94830978e-01  2.24462837e-01 -4.79512423e-01  7.24665523e-01
 -3.05222213e-01 -1.85424060e-01 -1.09385073e-01  7.44219065e-01
  1.27308905e-01 -1.96922004e-01  1.10477164e-01  7.65077531e-01]"
494,Dorothy Denning,1484,2,37,"Denning began her academic career at      Purdue University Purdue University as assistant professor from 1975 to 1981Denning began her academic career at      Purdue University Purdue University as assistant professor from 1975 to 1981Denning interviewed hackers for her research on hacking and  The      New Jersey City University New Jersey City University named its new security center the DrWhile working on her      redirect    PhD in computer science at Purdue University, she married   ","[-0.290563    0.16070561  0.3248675   0.9323074  -0.44587877 -0.24710011
  0.00294734  0.1525125   0.13827105  0.06080864 -0.04783263 -0.9620597
 -0.09448294  0.30564243 -0.23475003  0.02889962 -0.44895938 -0.2563913
  0.02769911  0.39490178 -0.0739868   0.31958526 -0.42262194  0.6073411
  0.5252815   0.2530071   0.6627413   0.17948598  0.54416573 -0.36925495
  0.31505683  0.17540146  0.07462035  0.30822104 -0.4442357  -0.11171099
  0.340587   -0.7070748   0.09077751  0.5548762   0.53789866 -0.9823398
 -0.8004006   0.26404506 -0.32314447 -0.34407485  0.24841616  0.38873133
 -0.38321495  0.43083772 -0.09952409 -0.45391378 -0.06276954  0.16098388
  0.41672423  0.30948216  0.32767773 -0.08410598  1.1302582  -1.1058207
 -0.6455771   0.31203645 -0.08601475 -0.1740877  -0.2630841   0.7589561
  0.15628526  0.49945995 -0.40730163  0.88140553 -0.5710557   0.935596
  0.40470585 -0.7223026   0.01938726 -0.9475275   0.47430027 -0.09183926
 -0.85833657  0.5999213  -0.8090511  -0.53005856 -0.12151421  0.9054232
  0.62002784  0.04476673  0.34286195 -0.40529448 -0.40998363  0.48499823
  0.05264093  0.8681098  -0.58813196  0.07055214  0.27966082  0.9095835
  0.36040395  0.10062669  0.1807438   0.9211139 ]"
495,Gernot Heiser,1263,6,64,"Gernot Heiser (born 1957) is a Scientia      Professor and  the      John Lions John Lions Chair for      Operating system operating systems at      University of New South Wales UNSW Sydney, where he leads the relGernot Heiser (born 1957) is a Scientia      Professor and  the      John Lions John Lions Chair for      Operating system operating systems at      University of New South Wales UNSW Sydney, where he leads the relIn 1991, Heiser joined the      UNSW School of Computer Science and Engineering School of Computer Science and Engineering of      University of New South Wales UNSW Sydney, originally as a lecturer, reaching the rank of full professor in 2002, a position he retains to dateIn 1991, Heiser joined the      UNSW School of Computer Science and Engineering School of Computer Science and Engineering of      University of New South Wales UNSW Sydney, originally as a lecturer, reaching the rank of full professor in 2002, a position he retains to dateIn 1991, Heiser joined the      UNSW School of Computer Science and Engineering School of Computer Science and Engineering of      University of New South Wales UNSW Sydney, originally as a lecturer, reaching the rank of full professor in 2002, a position he retains to dateIn 1991, Heiser joined the      UNSW School of Computer Science and Engineering School of Computer Science and Engineering of      University of New South Wales UNSW Sydney, originally as a lecturer, reaching the rank of full professor in 2002, a position he retains to dateAlso in 2002 he joined the newly created research organisation      NICTA as one of its initial Program Leaders, in charge of the Embedded, Time and Operating Systems (ERTOS) programHeiser's research focuses on      microkernels, based systems, and      Virtual machine virtual machines, and emphasizes performance and reliabilityAfter joining NICTA at its creation in 2002, his research shifted away from end computing platforms, and toward embedded systems, with the aim of improving security, safety, and reliability via use of microkernel technologySince leaving OK Labs in 2010 he focussed almost exclusively on seL4 and assurance based systems, both in research and in technology transfer","[-0.10947683  0.21453221  0.12690616  0.58218795 -0.5736105  -0.196746
 -0.26666227 -0.11030307  0.10263902 -0.05997306  0.3458662  -0.65052235
 -0.3747961   0.0523597  -0.7181389   0.34225962 -0.34019527 -0.08339172
  0.12654099  0.42724207 -0.13922855  0.33331138 -0.03208943  0.45082986
  0.31562868  0.2662714   0.9474413   0.05965978  0.27097335 -0.34719542
  0.22534078 -0.31782478 -0.01073878 -0.03437665 -0.3684873  -0.64628035
  0.28975615 -0.4429495   0.19040233  0.47105706  0.03194131 -0.878435
 -0.2247841   0.35402036 -0.10768707 -0.00506628  0.27173313  0.38443497
 -0.3393022   0.20387596  0.1432635  -0.18821077  0.17921124  0.5691187
 -0.1861037  -0.14024776  0.12542963 -0.21397367  1.0305772  -0.52693224
 -0.38152087  0.10463473  0.02154448 -0.26661763  0.44148678  0.95364994
  0.42085665  0.2259565   0.01232459  0.5745432  -0.5280266   0.7526884
  0.18615164 -0.41620296  0.3329247  -0.5284066  -0.09281742  0.56760514
 -0.79620665  0.34340534  0.01030719 -0.14616267 -0.01929309  0.5353084
  0.43368307  0.09566665 -0.12339064 -0.37336951 -0.38962367  0.19203247
 -0.20068645  0.7582321  -0.62746775 -0.06874422  0.2920755   0.59524405
  0.0437356  -0.1447418   0.16867591  0.74499285]"
496,Tom Lane,720,0,26,,
497,Andrey Kolmogorov,1714,7,87,"Andrey Kolmogorov was educated in his aunt Vera's village school, and his earliest literary efforts and mathematical papers were printed in the school journal  The Swallow of Spring In 1925, Kolmogorov graduated from      Moscow State University Moscow State University and began to study under the supervision of      Nikolai Luzin Nikolai LuzinIn 1933, Kolmogorov published his book, Foundations of the Theory of Probability, laying the modern axiomatic      Probability axioms foundations of probability theory and establishing his reputation as the world's leading expert in this fieldLater, Kolmogorov focused his research on      turbulence, beginning his publications in 1941In 1971, Kolmogorov joined an      redirect    oceanographic expedition aboard the research vessel      Dmitri Mendeleev Dmitri MendeleevTextbooks","[-0.03354185 -0.14785159 -0.02240621  0.1091917  -0.56450284 -0.14009789
 -0.15797195 -0.0019798   0.18212214  0.50904936  0.2388579  -0.2560622
 -0.5206629   0.01273894 -0.4007266   0.488965   -0.3803102  -0.35914317
  0.2243252   0.47588915 -0.20143703  0.12734696 -0.16822253  0.48397633
  0.4913411   0.22691667  0.7265557  -0.04749873  0.36198238 -0.29873836
  0.12987062 -0.10684335 -0.19895637  0.11962108 -0.20960218 -0.30502728
  0.20254615 -0.19877028  0.6424479   0.4990132   0.13238302 -0.84204125
 -0.03577072  0.1608473  -0.18041831 -0.03048262  0.08227587  0.19850464
 -0.45249027 -0.00191244  0.25435564  0.07720918 -0.3515077   0.51572484
  0.24957587  0.05966821  0.36809298 -0.3505454   0.8440496  -0.4350304
 -0.09949628  0.00651555  0.4942932  -0.1344596   0.4501993   0.36241132
  0.34629056  0.38123715 -0.0377654   0.80153424 -0.3125876   0.7347389
 -0.07104402 -0.2003918   0.12281849 -0.67087555  0.28121924  0.25324413
 -0.6657242   0.5339473  -0.0999736  -0.38657308 -0.08032779  0.42650378
  0.20057046  0.48865336  0.27326414  0.00268382 -0.3452801   0.00862473
 -0.40767017  0.7908694  -0.35195082 -0.08390195  0.3710432   0.30333483
  0.07940033 -0.16514002 -0.01625708  0.4109576 ]"
498,Walter F. Tichy,1316,0,100,,
